TMDb ID,IMDb ID,Type,Name,Release Date,Season Number,Episode Number,Rating,Your Rating,Date Rated
2122,tt0327247,movies,The Whole Ten Yards,2004-04-07T00:00:00Z,,,5.692,5.0,2021-08-29T19:32:53Z
49051,tt0903624,movies,The Hobbit: An Unexpected Journey,2012-11-26T00:00:00Z,,,7.299,5.0,2021-08-29T19:35:18Z
10528,tt0988045,movies,Sherlock Holmes,2009-01-01T00:00:00Z,,,7.188,5.0,2021-08-29T19:37:58Z
38055,tt1001526,animation,Megamind,2010-10-28T00:00:00Z,,,6.891,5.0,2021-08-29T19:38:54Z
12155,tt1014759,movies,Alice in Wonderland,2010-03-03T00:00:00Z,,,6.601,5.0,2021-08-29T19:39:36Z
562,tt0095016,movies,Die Hard,1988-07-15T00:00:00Z,,,7.73,5.0,2021-08-29T19:39:56Z
18,tt0119116,movies,The Fifth Element,1997-05-02T00:00:00Z,,,7.499,5.0,2021-08-29T19:41:16Z
19995,tt0499549,movies,Avatar,2009-12-10T00:00:00Z,,,7.482,5.0,2021-08-29T19:41:35Z
197,tt0112573,movies,Braveheart,1995-05-24T00:00:00Z,,,7.923,5.0,2021-08-29T19:43:32Z
11,tt0076759,movies,Star Wars,1977-05-25T00:00:00Z,,,8.204,5.0,2021-08-29T19:44:17Z
1891,tt0080684,movies,The Empire Strikes Back,1980-05-20T00:00:00Z,,,8.382,5.0,2021-08-29T19:44:23Z
1892,tt0086190,movies,Star Wars: Episode VI - Return of the Jedi,1983-05-25T00:00:00Z,,,7.912,5.0,2021-08-29T19:44:31Z
1893,tt0120915,movies,Star Wars: Episode I - The Phantom Menace,1999-05-19T00:00:00Z,,,6.502,5.0,2021-08-29T19:45:22Z
1894,tt0121765,movies,Star Wars: Episode II - Attack of the Clones,2002-05-15T00:00:00Z,,,6.535,5.0,2021-08-29T19:47:20Z
1895,tt0121766,movies,Star Wars: Episode III - Revenge of the Sith,2005-05-17T00:00:00Z,,,7.359,5.0,2021-08-29T19:47:34Z
140607,tt2488496,movies,Star Wars: The Force Awakens,2015-12-15T00:00:00Z,,,7.346,5.0,2021-08-29T19:47:42Z
181808,tt2527336,movies,Star Wars: The Last Jedi,2017-12-13T00:00:00Z,,,6.9,5.0,2021-08-29T19:47:49Z
604,tt0234215,movies,The Matrix Reloaded,2003-05-15T00:00:00Z,,,6.988,5.0,2021-08-29T19:48:24Z
605,tt0242653,movies,The Matrix Revolutions,2003-11-05T00:00:00Z,,,6.673,5.0,2021-08-29T19:48:37Z
2062,tt0382932,animation,Ratatouille,2007-06-28T00:00:00Z,,,7.751,5.0,2021-08-29T19:50:42Z
10681,tt0910970,animation,WALL·E,2008-06-22T00:00:00Z,,,8.046,5.0,2021-08-29T19:52:57Z
1726,tt0371746,movies,Iron Man,2008-04-30T00:00:00Z,,,7.617,5.0,2021-08-29T19:53:09Z
10138,tt1228705,movies,Iron Man 2,2010-04-28T00:00:00Z,,,6.835,5.0,2021-08-29T19:53:27Z
1618,tt0275137,tv,Justice League,2001-11-17T00:00:00Z,,,8.068,5.0,2021-08-29T19:56:50Z
162215,tt1894476,movies,How I Live Now,2013-09-10T00:00:00Z,,,6.63,5.0,2021-08-29T20:08:08Z
81188,tt1446192,animation,Rise of the Guardians,2012-11-21T00:00:00Z,,,7.344,5.0,2021-08-29T20:11:01Z
177572,tt2245084,animation,Big Hero 6,2014-10-24T00:00:00Z,,,7.753,5.0,2021-08-29T20:11:13Z
101299,tt1951264,movies,The Hunger Games: Catching Fire,2013-11-15T00:00:00Z,,,7.427,5.0,2021-08-29T20:12:30Z
561,tt0360486,movies,Constantine,2005-02-08T00:00:00Z,,,6.962,5.0,2021-08-29T20:16:54Z
10610,tt0288045,movies,The Medallion,2003-08-15T00:00:00Z,,,5.588,5.0,2021-08-29T20:18:01Z
73,tt0120586,movies,American History X,1998-07-01T00:00:00Z,,,8.373,5.0,2021-08-29T20:19:33Z
12834,tt1151359,movies,Leaves of Grass,2009-09-13T00:00:00Z,,,6.017,5.0,2021-08-29T20:19:58Z
12405,tt1010048,movies,Slumdog Millionaire,2008-11-12T00:00:00Z,,,7.741,5.0,2021-08-29T20:20:39Z
9621,tt0368709,movies,Elizabethtown,2005-10-14T00:00:00Z,,,6.165,5.0,2021-08-29T20:20:59Z
393,tt0378194,movies,Kill Bill: Vol. 2,2004-04-16T00:00:00Z,,,7.878,5.0,2021-08-29T20:21:31Z
375384,tt1914302,movies,Lie Detector,2011-07-22T00:00:00Z,,,6.857,5.0,2021-08-29T20:23:37Z
9896,tt0250687,movies,Rat Race,2001-08-17T00:00:00Z,,,6.208,5.0,2021-08-29T20:23:57Z
34729,tt0270560,movies,Our Lips Are Sealed,2000-05-18T00:00:00Z,,,5.975,5.0,2021-08-29T20:24:11Z
33689,tt0113442,movies,It Takes Two,1995-11-17T00:00:00Z,,,6.447,5.0,2021-08-29T20:24:24Z
2758,tt0106220,movies,Addams Family Values,1993-11-19T00:00:00Z,,,6.866,5.0,2021-08-29T20:24:39Z
2907,tt0101272,movies,The Addams Family,1991-11-22T00:00:00Z,,,6.994,5.0,2021-08-29T20:24:51Z
14452,tt1107859,movies,Kill Switch,2008-10-06T00:00:00Z,,,4.596,5.0,2021-08-29T20:26:48Z
26583,tt1296869,movies,The Keeper,2009-10-03T00:00:00Z,,,5.231,5.0,2021-08-29T20:26:58Z
28465,tt1360767,movies,A Dangerous Man,2009-12-28T00:00:00Z,,,5.24,5.0,2021-08-29T20:27:16Z
9374,tt0104070,movies,Death Becomes Her,1992-07-30T00:00:00Z,,,6.738,5.0,2021-08-29T20:27:28Z
20875,tt0059550,movies,Операция «Ы» и другие приключения Шурика,1965-08-16T00:00:00Z,,,7.952,5.0,2021-08-29T20:27:43Z
20878,tt0060584,movies,"Кавказская пленница, или Новые приключения Шурика",1967-04-01T00:00:00Z,,,7.85,5.0,2021-08-29T20:27:53Z
181812,tt2527338,movies,Star Wars: The Rise of Skywalker,2019-12-18T00:00:00Z,,,6.495,5.0,2021-08-30T12:45:06Z
10865,tt0230011,animation,Atlantis: The Lost Empire,2001-06-02T00:00:00Z,,,6.943,5.0,2021-09-07T19:36:58Z
20683,tt1506448,animation,Peiru Kokun,2006-01-18T00:00:00Z,,,6.524,5.0,2021-09-07T19:37:12Z
8953,tt0348121,animation,Steamboy,2004-07-17T00:00:00Z,,,6.874,5.0,2021-09-07T19:37:30Z
15877,tt1056437,animation,The Sky Crawlers,2008-08-02T00:00:00Z,,,6.673,5.0,2021-09-07T19:37:41Z
14003,tt0485323,animation,Fullmetal Alchemist the Movie: Conqueror of Shamballa,2005-07-21T00:00:00Z,,,7.247,5.0,2021-09-07T19:38:07Z
31648,tt0065670,movies,Twelve Chairs,1971-06-21T00:00:00Z,,,7.556,5.0,2021-09-07T19:42:24Z
20871,tt0068519,movies,Gentlemen of Fortune,1971-12-13T00:00:00Z,,,7.867,5.0,2021-09-07T19:42:38Z
142,tt0388795,movies,Brokeback Mountain,2005-09-10T00:00:00Z,,,7.825,5.0,2021-09-07T19:43:12Z
1271,tt0416449,movies,300,2007-03-07T00:00:00Z,,,7.154,5.0,2021-09-07T19:43:24Z
37933,tt0495596,animation,Tales from Earthsea,2006-07-29T00:00:00Z,,,6.56,5.0,2021-09-07T19:43:37Z
10982,tt0443536,animation,Hoodwinked!,2005-12-16T00:00:00Z,,,6.164,5.0,2021-09-07T19:43:50Z
33534,tt0465967,animation,Добрыня Никитич и Змей Горыныч,2006-03-16T00:00:00Z,,,6.741,5.0,2021-09-07T19:44:03Z
451172,tt1189893,animation,Илья Муромец и Соловей Разбойник,2007-12-28T00:00:00Z,,,6.841,5.0,2021-09-07T19:44:13Z
33065,tt0415481,animation,Алёша Попович и Тугарин Змей,2004-12-23T00:00:00Z,,,6.757,5.0,2021-09-07T19:44:23Z
52939,tt1796657,animation,Три богатыря и Шамаханская царица,2010-12-29T00:00:00Z,,,5.931,5.0,2021-09-07T19:44:31Z
11774,tt0339291,movies,Lemony Snicket's A Series of Unfortunate Events,2004-12-16T00:00:00Z,,,6.817,5.0,2021-09-07T19:44:44Z
9833,tt0293508,movies,The Phantom of the Opera,2004-12-08T00:00:00Z,,,7.262,5.0,2021-09-07T19:45:00Z
4442,tt0355295,movies,The Brothers Grimm,2005-08-26T00:00:00Z,,,5.762,5.0,2021-09-07T19:45:18Z
9479,tt0107688,animation,The Nightmare Before Christmas,1993-10-09T00:00:00Z,,,7.839,5.0,2021-09-07T19:46:18Z
824,tt0203009,movies,Moulin Rouge!,2001-05-24T00:00:00Z,,,7.61,5.0,2021-09-07T19:46:34Z
9476,tt0183790,movies,A Knight's Tale,2001-05-11T00:00:00Z,,,6.849,5.0,2021-09-07T19:46:47Z
9444,tt0118617,animation,Anastasia,1997-11-20T00:00:00Z,,,7.631,5.0,2021-09-07T19:46:58Z
36129,tt0073099,animation,Ёжик в тумане,1975-10-23T00:00:00Z,,,7.418,5.0,2021-09-07T19:47:17Z
854,tt0110475,movies,The Mask,1994-07-29T00:00:00Z,,,6.9,5.0,2021-09-07T19:47:32Z
3981,tt0207201,movies,What Women Want,2000-12-15T00:00:00Z,,,6.399,5.0,2021-09-07T19:48:10Z
9874,tt0090859,movies,Cobra,1986-03-21T00:00:00Z,,,5.965,5.0,2021-09-07T19:48:26Z
11283,tt0396752,movies,Nanny McPhee,2005-10-21T00:00:00Z,,,6.628,5.0,2021-09-07T19:48:40Z
14362,tt0102614,movies,Out for Justice,1991-04-12T00:00:00Z,,,6.118,5.0,2021-09-07T19:49:14Z
13154,tt0102915,movies,Showdown in Little Tokyo,1991-08-23T00:00:00Z,,,6.287,5.0,2021-09-07T19:49:42Z
10136,tt0091129,movies,The Golden Child,1986-12-12T00:00:00Z,,,5.87,5.0,2021-09-07T19:49:55Z
1621,tt0086465,movies,Trading Places,1983-06-07T00:00:00Z,,,7.16,5.0,2021-09-07T19:50:09Z
10861,tt0117011,movies,Maximum Risk,1996-09-13T00:00:00Z,,,5.638,5.0,2021-09-07T19:50:22Z
10366,tt0176269,movies,Universal Soldier: The Return,1999-08-05T00:00:00Z,,,5.507,5.0,2021-09-07T19:50:45Z
9349,tt0105698,movies,Universal Soldier,1992-07-10T00:00:00Z,,,6.253,5.0,2021-09-07T19:51:02Z
11667,tt0111301,movies,Street Fighter,1994-12-23T00:00:00Z,,,4.544,5.0,2021-09-07T19:51:53Z
9103,tt0117420,movies,The Quest,1996-04-19T00:00:00Z,,,6.092,5.0,2021-09-07T19:52:22Z
2019,tt0107076,movies,Hard Target,1993-08-20T00:00:00Z,,,6.289,5.0,2021-09-07T19:52:33Z
8831,tt0111438,movies,Timecop,1994-09-15T00:00:00Z,,,5.951,5.0,2021-09-07T19:52:47Z
10413,tt0107711,movies,Nowhere to Run,1993-01-15T00:00:00Z,,,6.263,5.0,2021-09-07T19:53:00Z
865,tt0093894,movies,The Running Man,1987-11-13T00:00:00Z,,,6.501,5.0,2021-09-07T19:53:12Z
28597,tt0102719,movies,Problem Child 2,1991-07-03T00:00:00Z,,,5.849,5.0,2021-09-07T19:53:33Z
11690,tt0092675,movies,Bloodsport,1988-02-26T00:00:00Z,,,6.97,5.0,2021-09-07T19:54:35Z
10222,tt0097659,movies,Kickboxer,1989-04-20T00:00:00Z,,,6.771,5.0,2021-09-07T19:55:05Z
9594,tt0101764,movies,Double Impact,1991-07-31T00:00:00Z,,,6.054,5.0,2021-09-07T19:55:42Z
861,tt0100802,movies,Total Recall,1990-06-01T00:00:00Z,,,7.26,5.0,2021-09-07T19:55:59Z
9593,tt0107362,movies,Last Action Hero,1993-06-18T00:00:00Z,,,6.376,5.0,2021-09-07T19:56:17Z
36955,tt0111503,movies,True Lies,1994-07-15T00:00:00Z,,,7.019,5.0,2021-09-07T19:56:34Z
942,tt0097733,movies,Lethal Weapon 2,1989-07-07T00:00:00Z,,,6.984,5.0,2021-09-07T19:56:53Z
943,tt0104714,movies,Lethal Weapon 3,1992-05-15T00:00:00Z,,,6.7,5.0,2021-09-07T19:56:59Z
944,tt0122151,movies,Lethal Weapon 4,1998-07-10T00:00:00Z,,,6.587,5.0,2021-09-07T19:57:07Z
